Rank_x,Player,Team_x,PA,IP,Bat WAR,Pit WAR,Total War,Rank_y,Team_y,Position,Salary,Years,Total Value,Average Annual
80,Jacob Wilson,ATH,523.0,,3.4,,3.4,530.0,Athletics,SS,"$760,000 ",,$0 ,760000.0
81,Jacob deGrom,TEX,,172.2,0.0,3.4,3.4,6.0,Rangers,RHP,"$40,000,000 ",5.0,"$185,000,000 ",37000000.0
82,Tyler Soderstrom,ATH,624.0,,3.4,,3.4,,Athletics,1,"$765,000 ",,$0 ,765000.0
83,Dansby Swanson,CHC,645.0,,3.3,,3.3,32.0,Cubs,SS,"$28,000,000 ",7.0,"$177,000,000 ",25285714.0
84,Kris Bubic,KCR,,116.1,0.0,3.3,3.3,310.0,Royals,LHP,"$3,000,000 ",,$0 ,3000000.0
85,Rafael Devers,- - -,729.0,,3.3,,3.3,17.0,Red Sox,DH,"$25,813,052 ",10.0,"$313,500,000 ",31350000.0
86,Trevor Rogers,BAL,2.0,109.2,0.0,3.3,3.3,265.0,Orioles,LHP,"$2,600,000 ",,$0 ,2600000.0
87,James Wood,WSN,689.0,,3.2,,3.2,412.0,Nationals,OF,"$764,600 ",,$0 ,764600.0
88,Xander Bogaerts,SDP,552.0,,3.2,,3.2,30.0,Padres,SS,"$25,454,545 ",11.0,"$280,000,000 ",25454545.0
90,Patrick Bailey,SFG,452.0,,3.2,,3.2,766.0,Giants,C,"$780,000 ",,$0 ,780000.0
91,Ernie Clement,TOR,588.0,,3.2,,3.2,208.0,Blue Jays,3,"$1,975,000 ",,$0 ,1975000.0
92,Harrison Bader,- - -,501.0,,3.2,,3.2,534.0,Twins,OF,"$4,750,000 ",,$0 ,4750000.0
93,Steven Kwan,CLE,693.0,,3.2,,3.2,294.0,Guardians,OF,"$4,175,000 ",,$0 ,4175000.0
94,Zach McKinstry,DET,511.0,0.1,3.2,0.0,3.2,350.0,Tigers,3,"$1,650,000 ",,$0 ,1650000.0
95,Trent Grisham,NYY,581.0,,3.2,,3.2,552.0,Yankees,OF,"$5,000,000 ",,$0 ,5000000.0
96,CJ Abrams,WSN,635.0,,3.1,,3.1,757.0,Nationals,SS,"$780,600 ",,$0 ,780600.0
97,Josh Naylor,- - -,604.0,,3.1,,3.1,605.0,Diamondbacks,1,"$10,900,000 ",,$0 ,10900000.0
98,Zach Neto,LAA,554.0,,3.1,,3.1,,Angels,SS,"$780,000 ",,$0 ,780000.0
99,David Peterson,NYM,,168.2,0.0,3.1,3.1,535.0,Mets,LHP,"$4,625,000 ",,$0 ,4625000.0
100,Drake Baldwin,ATL,446.0,,3.1,,3.1,502.0,Braves,C,"$760,000 ",,$0 ,760000.0
101,Joe Ryan,MIN,,171.0,0.0,3.1,3.1,243.0,Twins,RHP,"$3,000,000 ",,$0 ,3000000.0
102,Merrill Kelly,- - -,,184.0,0.0,3.1,3.1,596.0,Diamondbacks,RHP,"$8,000,000 ",,$0 ,8000000.0
103,Bryson Stott,PHI,560.0,,3.1,,3.1,302.0,Phillies,2,"$3,200,000 ",,$0 ,3200000.0
104,Austin Wells,NYY,448.0,,3.0,,3.0,705.0,Yankees,C,"$801,400 ",,$0 ,801400.0
105,Ben Rice,NYY,530.0,,3.0,,3.0,746.0,Yankees,DH,"$782,800 ",,$0 ,782800.0
106,Trevor Story,BOS,654.0,,3.0,,3.0,44.0,Red Sox,SS,"$22,500,000 ",6.0,"$140,000,000 ",23333333.33
107,Jackson Merrill,SDP,483.0,,3.0,,3.0,698.0,Padres,OF,"$809,500 ",,$0 ,809500.0
108,Ryan O'Hearn,- - -,544.0,,3.0,,3.0,600.0,Orioles,1,"$8,000,000 ",,$0 ,8000000.0
110,Brandon Nimmo,NYM,652.0,,3.0,,3.0,59.0,Mets,OF,"$20,500,000 ",8.0,"$162,000,000 ",20250000.0
113,Max Muncy,LAD,388.0,,2.9,,2.9,127.0,Dodgers,3,"$14,250,000 ",2.0,"$24,000,000 ",12000000.0
113,Max Muncy,LAD,388.0,,2.9,,2.9,497.0,Athletics,2,"$760,000 ",,$0 ,760000.0
114,Jackson Chourio,MIL,589.0,,2.9,,2.9,148.0,Brewers,OF,"$4,250,000 ",8.0,"$82,000,000 ",10250000.0
115,Taylor Ward,LAA,663.0,,2.9,,2.9,588.0,Angels,OF,"$7,825,000 ",,$0 ,7825000.0
116,Riley Greene,DET,655.0,,2.9,,2.9,697.0,Tigers,OF,"$812,400 ",,$0 ,812400.0
117,Jake Cronenworth,SDP,515.0,,2.9,,2.9,134.0,Padres,2,"$11,285,714 ",7.0,"$80,000,000 ",11428571.0
118,Hunter Greene,CIN,,107.2,0.0,2.9,2.9,161.0,Reds,RHP,"$6,333,333 ",6.0,"$53,000,000 ",8833333.0
119,Randy Arozarena,SEA,709.0,,2.9,,2.9,602.0,Mariners,OF,"$11,300,000 ",,$0 ,11300000.0
